Name,Address,City,StateProvince,Country,Latitude,Longitude,Photo,Description,Website Link,InterestTags,Budget,TimeOpen,TimeClosed,Time to Visit,DaysOpen,DaysClosed,HourstoComplete,MustSee,Group
The National Museum of Emerging Science and Innovation,"6 3, 2-chōme, Aomi Kōtō-ku",Tokyo,Kantō,Japan,35.6193,139.7764,TOK_NMSI_01.jpg,"Established by Japan’s Science and Technology Agency, the National Museum of Emerging Science and Innovation, or Miraikan (Future Museum) for short, is one of Tokyo’s most innovative technology museums. The Miraikan curates three or more special interactive exhibitions each year. The focus is often a blending of science and art. As for subject matter, as long as it’s relating to science, anything goes – such as natural disasters, issues of human waste, architectural exhibitions and more. Visitors can also check out real-time information displays from Japan’s many seismometers, while the Geo-Cosmos shows up-to-date global weather patterns.Visit the National Museum of Emerging Science and Innovation website for more information.",http://www.miraikan.jst.go.jp/,"1300,1800",$,10:00,17:00,Afternoon,"Sun, Mon, Wed, Thurs, Fri, Sat",Tues,1.5,No,1
Toshiba Science Museum,"72-34 Horikawachō, Saiwai-ku Kawasaki-shi",Kanagawa-ken,Kantō,Japan,35.5321,139.6945,TOK_TSM_01.jpg,"The Toshiba Science Museum or Toshiba Science Institute is a science and technology museum with a free-entry policy. The exhibition space reflects the values of Toshiba as one of the world’s leading technology and communications companies. The interactive displays focus on the future of cities and renewable energy, of homes and healthcare, transportation and more. There is also a section dedicated to interactive science education, as well as exhibits concerned with the history of Toshiba and technology. The exhibitions are permanent. Visit the Toshiba Science Museum website for exhibition details and more information.",http://toshiba-mirai-kagakukan.jp/,1800,Free,10:00,17:00,All,"Sun, Tues, Wed, Thurs, Fri, Sat",Mon,1.5,No,4
Sony Explorascience Museum,"５F, AQUA CITY ODAIBA, １ 7, 1-chōme, Daiba Minato-ku",Tokyo,Kantō,Japan,35.628359,139.774604,TOK_SEM_01.jpg,"The Sony Explorascience Museum fits nicely into the futuristic island of Odaiba, Tokyo. The museum was built with the goal of encouraging public interest in science. In true Sony style, the museum is filled with fun and interactive games, displays and movies. The museum aims to show visitors the link between new technologies and the basic principles of science, demystifying the world of modern tech. The Sony Explorascience Museum is a great place for those traveling with kids.Visit the Sony Explorescience Museum website for more information.",http://www.sonyexplorascience.jp/,"1300,1800",$,11:00,19:00,All,"Sun, Mon, Wed, Thurs, Fri, Sat",Tues,2.5,No,3
TeNQ Space Museum,"61 3, 1-chōme, Kōraku Bunkyō-ku",Tokyo,Kantō,Japan,35.7033,139.7513,TOK_TNQ_01.jpg,"Check out Japan’s advances in space technology at the TeNQ Space Museum (pronounce ten-cue).Opened in 2014, this is one of Tokyo’s newest technology museums. The focus at TeNQ is space technology and information. One of the highlights is the Theater Sora, where museum-goers can look down at a realistic recreation of what it’s like to see Earth from the International Space Station, using actual footage. The museum is conveniently located inside Tokyo Dome City.Visit the TeNQ website for more information.",http://www.tokyo-dome.co.jp/tenq/,1800,$$,11:00,21:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,2
Kabukicho,"1-chōme-23 Kabukichō, 歌舞伎町 Shinjuku City",Tokyo,Kantō,Japan,35.6961,139.7026,TOK_KAB_01.jpg,"Kabukicho is essentially the red light district of Tokyo. Home to people from all walks of life from the typical reserved Japanese person to the… not so.
It features one of the highest densities of neon lights in all of Tokyo, with crowded streets lit up from the pretty signs of bars, restaurants, karaoke places, and of course, the varying degrees of adult entertainment.
It’s a little tourist-trappy, but it’s not nearly half as bad as some other countries such as Thailand. It’s very much worth the visit and diving into the culture here.","https://en.wikipedia.org/wiki/Kabukich%C5%8D,_Tokyo","1900,1910",Free,00:01,23:59,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,2
Omoide Yokocho,"1 Chome-2 Nishishinjuku, Shinjuku City",Tokyo,Kantō,Japan,35.693226,139.699527,TOK_OY_01.jpg,"Omoide Yokocho means “Memory Lane” in Japanese. It’s a chaotic and energetic series of alleyways that’s rich in tiny restaurants, lights, sounds and smells. Oh gosh, the smells.
It’s a Yakitori haven. A place for ramen. Yakiniku. Think Izakaya’s – bars with little nibbles to eat on – all crammed into tiny spaces in wider than the shoulders of a few people. Classic Japan.
Like its cousin in Kabukicho, Golden Gai; Omoide Yokocho maintains a post war, Showa-era looking decor and has an incredible amount of ambience.",www.shinjuku-omoide.com,"1900,1910",Free,00:01,23:59,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,3
Tokyu Plaza Omotesando Mirrors,"4-chōme-30-３ Jingūmae, Shibuya City",Tokyo,Kantō,Japan,35.668891,139.705992,TOK_TPOM_01.jpg,"The insane entryway to Tokyu plaza Omotesando Harajuku is most certainly something many people have seen in Instagram many times before.
The entry to the plaza is filled with a multitude of mirrors, all facing in slightly different directions, giving a “crystal universe” effect upon entering the trendy plaza. It’s somewhat of an icon in this area now, and a popular destination for tourists too. It’s not uncommon to see a line of people waiting up the top to take the classic image.",www.omohara.tokyu-plaza.com,1910,Free,11:00,21:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,4
Roppongi Hills Observatory,6 Chome-11-1 六本木 Minato-ku,Tokyo,Kantō,Japan,35.656,139.7247,TOK_RHO_01.jpg,"For a classic view of the sprawling Tokyo city skyline, the view at Roppongi hills observatory is one of the best – especially for viewing the Tokyo tower.
It’s a proper observatory here, with a viewing deck that’s quite crowded. However it also does have a “Sky Deck”, which is essentially the rooftop helipad from which visitors can view the city for an extra 500 yen. Underneath there’s also an art museum visitors with extra time can visit.",www.roppongihills.com,"1900,1910",$$,10:00,23:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,3
The SoHo,"〒135-0064 Tōkyō-to, Koto City, Aomi, 2-chōme−7−4",Tokyo,Kantō,Japan,35.61785,139.777853,TOK_TSH_01.jpg,"The SoHo is a private apartment block of colourful apartments in Odaiba. It’s a pretty commonly visited place on Instagram and is now quite popular, especially considering that it’s a private residence.
There’s a good reason (and good intention) that people sneak in to this place though. Its varying levels of apartments are adorned with a rainbow of different colors decorating the place, giving The SoHo a unique look not really found anywhere else.
This guide is not instructing you to go there, as it’s illegal to trespass on private property. For those who are invited on the property, that’s a different story, though.",http://wonder-wall.com/project/213/,"1700,1900,1910",Free,00:01,23:59,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,5
Gotokuji Temple,"2 Chome-24-7 Gotokuji, Setagaya City",Tokyo,Kantō,Japan,35.647842,139.647155,TOK_GT_01.jpg,"Hello, kitties! This peculiar spot deep in Setagaya is known as the cat temple – and rightfully so, as it’s littered with thousands of arm-waving lucky cats in all sizes across the temple compound. Gotokuji is said to be the birthplace of the famed maneki neko (beckoning cat), those charming little kitties that supposedly bring good luck and happiness.",https://livejapan.com/en/in-tokyo/in-pref-tokyo/in-shimokitazawa/article-a0001417/,"1600,1900,1910",Free,08:00,16:30,Morning,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,4
Rainbow Bridge,"Ranbow Bridge, Minato City",Tokyo,Kantō,Japan,35.6366,139.7631,TOK_RB_01.jpg,"The city's most famous bridge was built in 1993 over Tokyo Bay and is shaped like a rainbow, obviously. The 798-meter long bridge connects Shibaura Pier with the Odaiba waterfront and makes for a stunning shot whether lit up in the evening or under a sunny blue sky. Visitors have an excellent view from the observation deck at Fuji TV Building (entrance fee applies).",https://en.wikipedia.org/wiki/Rainbow_Bridge_(Tokyo),"1700,1900,1910",Free,00:01,23:59,Evening,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,5
St. Mary’s Cathedral Tokyo,"3 Chome-16-15 Sekiguchi, Bunkyo City",Tokyo,Kantō,Japan,35.7143,139.7266,TOK_SMC_01.jpg,"Located in Sekiguchi, this towering church was designed by the renowned Japanese architect Kenzo Tange. Inside, the cathedral is just as stunning as the exterior, with floor to ceiling, industrial-style stone walls that go as far as the eye can see. Visitors can't take photos inside the church but the facade is just as Insta-perfect.",https://tokyo.catholic.jp/english/archdiocese_en/17918/,"1700,1900,1910",Free,07:00,19:00,Morning,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,4
Rikugi-en,"6 Chome-16-3 Honkomagome, Bunkyo City",Tokyo,Kantō,Japan,35.7331,139.7465,TOK_RIK_01.jpg,Nothing says zen quite like the peaceful surroundings of this beautiful Japanese garden. The park represents 88 miniature scenes from famous Japanese poems and features a central pond as well as a pretty little teahouse. Catch the weeping cherry blossoms in spring and the stunning foliage in autumn for the best photo opportunities.,https://www.japan-guide.com/e/e3026.html,"1000,1900",$,09:00,17:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,4
Meguro River,"Meguro River, Nakameguro",Tokyo,Kantō,Japan,35.640278,139.694763,TOK_MR_01.jpg,"A popular area during cherry blossom season, Nakameguro's bit of the Meguro River is a must-visit spot for Instagram-hunters looking to capture its gorgeous pink foliage. Head there during the holiday season for a different view, as the river turns into a winter wonderland with trees strung in dazzling lights. Or, make see it in the autumn when the leaves start to change color.",https://en.wikipedia.org/wiki/Meguro_River,"1900,1910,2100",Free,00:01,23:59,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,3
United Nations University Farmers' Market,"5 Chome-53-70 Jingumae, Shibuya City",Tokyo,Kantō,Japan,35.662312,139.708501,TOK_UNFM_01.jpg,"One of the city’s longest running weekend farmers’ markets, this one is highly favored by locals. A beautiful mix of fresh produce, ready-to-eat snack and drink offerings, and plenty of handmade goods, this is great either before or after brunch. It’s also the perfect place to see how salt-of-the-earth, garden-fresh items integrate with the metropolitan vibe of the Earth’s largest city. Fun to walk through with kiddos or alone, the market is a great way to remember there’s more than high-rise buildings and concrete to be found in the heart of Tokyo.",https://bestlivingjapan.com/the-farmers-market-at-the-un-university/,"1300,2000,2010,2100",Free,09:00,18:00,Morning,"Mon, Tues, Wed, Thurs, Fri","Sun, Sat",1.5,No,2
Yokohama Bayside Marina,"1 Shiraho, Kanazawa Ward, Yokohama",Kanagawa,Kantō,Japan,35.3802,139.6479,TOK_BSM_01.jpg,"Technically not in Tokyo, Yokohama and Tokyo are two cities that have grown so big they’ve bumped into each other thus representing the greater area of Tokyo. The Bayside Marina has a completely different look and feel from central Tokyo and is a place locals love to go to when feeling the need for something low key. The open grassy areas are perfect for a picnic with friends or a late afternoon snooze. Chinatown isn’t far away and there’s some fantastic food, shopping and entertainment venues — the Ferris Wheel view from the top is fantastic at sunset.",https://www.yokohamajapan.com/things-to-do/detail.php?id=150,"1000,1900,2100",Free,09:00,17:00,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,3,No,4
Tokyu Hands,"5 Chome−24−2, Sendagaya, Shibuya City",Tokyo,Kantō,Japan,35.6872,139.7024,TOK_TH_01.jpg,"The first response to, “Do you know where I can find …. in Tokyo?”, is practically always, “Try Tokyo Hands.” It’s that way for a reason. Tokyo Hands is this city’s one stop shopping/DIY go to ‘they have what you need when you need it’ place of legend. It doesn’t take visitors and newbies long to learn why. The Shibuya location isn’t the only one, there are plenty to choose from — it’s just one of the biggest. Ikebukuro is another great location housing all the things.",http://shinjuku.tokyu-hands.co.jp/,"2000,2100",$,10:00,21:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1.5,No,5
